ID;ID;City;Todo
10;11;Amsterdam;"Discover the fascinating history of the most liberal city in the world with FreeDam Tours - the best rated walking tour in Amsterdam!

On this unique tip-based  tour * you will discover how freedom and tolerance shaped the city and its people throughout the ages.

Your super local guide will combine beautiful sightseeing with exciting storytelling and cover everything you need to know about Amsterdam in one tour: history, modern life, culture, art, fun facts and personal stories for a unique insider’s perspective on life in Amsterdam. 

Be prepared to challenge all your preconceived ideas about this city because after this tour you will never look and think of Amsterdam the same way.

“From the Red Light District to the evolution of Amsterdam as the global centre of world trade in the 17th century, its transition from from a republic to a monarchy, the tragedy of the Nazi occupation and its enlightened and effective attitude to drug control, your guide will stitch these diverse items together with humorous personal anecdotes and insightful commentary on the underlying social and cultural mores of the Dutch people”.

*Tip-based walking tour means you can join this tour almost for free (you will be charged the booking and marketing & booking fees) after which you can tip your guide what you think the tour was worth.

Please note: our groups have a maximum capacity of 20 people."
11;12;Amsterdam;"Special Valentine's Suprisegift on 13, 14 and 15th of February

Picture this: You and your partner snuggled together. The sound of water lapping softly against the sides of the boat as we drift beneath Amsterdam’s iconic bridges and past its magnificent 17th-century canal houses while listening to tales of love that touch the heart.

End your day of sightseeing with an intimate journey of discovery along the canals, as the city winds down and reveals itself at its most alluring. This voyage is ideal for couples looking for a more personal way to discover the city than is possible with standard group tours.

Against this picturesque backdrop, I will introduce you and a small group of couples to the intimate side of the city through stories that speak to the heart: tales of love, and details of the art and architecture that make Amsterdam such an open-air museum. Brought to life with a carefully chosen selection of music. 

The heart opens in silence, so we are sailing on a quiet, solar-powered boat that’s perfectly sized for the more private canals. 

In the evening you can often see a beautiful glow over Amsterdam and little lights are creating magical shimmers on the water. When your journey draws to a graceful end,  you and your partner are set for cosy night together.

Let me make you feel the Magic and Romance of Amsterdam"
12;13;Amsterdam;"Come aboard, get settled and relax yourself on the cushions of our comfortable and safe boat. Our boat has a cover to keep you dry in case of rain, but won’t block your view as it has big windows.
Be served a drink of your choice, try a dutch snack and enjoy while the oldest part of the city shows you all it's glory. With other guests you will meet on our tour, you can share stories and experiences. And we will inform you local must sees, does and hotspots. 
Meanwhile let us show you the highlights of the Amsterdam Canals. Go to places where the large glass or crowded tourist boats can not sail.

We limit this tour to approx. 12-18 guests,  to ensure that the tour is personal and in an exclusive setting.
We are child friendly so children of all ages are welcome! We understand more than anyone as we have 2 young daughters ourselves and love to travel together as a family.

⭐️ Full 90minutes tour
⭐️ Historical and electric boat
⭐️ ALL snacks and drinks are included
⭐️ Small group guarentee
⭐️ No-nonsense, no audiotour

For an impression of the tours, please check our instagram account:
https://instagram.com/sloepon?igshid=am47g3z32ux"
13;14;Amsterdam;"How much fun would it be if in every destination we visited in the world, a local friend showed up to take us to all the best places to eat, places which we would never have discovered otherwise? A dream come true, right?!
If food is the center of your trips abroad, you can kick back, put your feet up, and smile. You’re in for an adventure.

The variety of flavors in The Netherlands that have been melded over the years reveal the Dutch food culture which blends beautifully with the nationalities that have migrated here throughout history and offers us a variety of traditional and new oriental and western flavors. So what do the Dutch eat and where? Let’s find out…

Allow us to pull you away from the usual tourist route and towards some dreamy places that you didn’t know about. An all-together experience of stories and flavors that are inseparable from the city and make it as special as it is. All tastings are already included in the price of the tour. In addition, we will stop at places where you can buy yourself tasty souvenirs for back home. 

3 hours, some stories and lots of food, so don’t say we didn’t tell you to come hungry :)"
14;15;Amsterdam;"Pick up point station Sassenheim
11.30-13.00   Cycling (to Lisse or Noordwijkherout via flowerfields  = 9 km
13.00-14.30   Boat tour from Lisse or Noordwijkerhout
14.30-15.30   Cycling to Warmond  (11 km)
15.30-17.30   An island hopping walk (7 km takes about 2 hours)  ór you could spent this time in the old village of Warmond
17.30-19.30   Enjoying typical dutch food 

Cycling:
On adjustable hired bikes we go on a tour through this area and will pass beautifull flowerfields.
Especially in april and may you can enjoy the view and smell of the daffodils, hyacinths and tulips
There will be enough time to stop for picture moments.

Tour boat
We enjoy the beautiful view, historic mills and typical villages in the famous flowering bulbfields area.

From here we cycle trough the flowerfields to Warmond from which our walk starts.

Walking:
From Warmond we go on an exciting island-hopping walk. We will see old windmills and different waterbirds on our way.

Dining:
We will enjoy a typical dutch meal at my parents place in Warmond. The kind of stew (hodgepodge) is depending of the season.
From here you’ll go back by bus to station Leiden or station Sassenheim"
15;16;Amsterdam;"Are you ready to bake some Dutch stories?? I'll teach you how to make some typical Dutch sweets!
The Bakery 'Let's Bake a Story' is situated in the city centre of Delft, very close to the train station. We will start the workshop with a small introduction, coffee/tea and of course a warm, typical Dutch apple pie! After we've introduced ourselves to each other and I've told you a little bit about Delft, we will start baking!
We will be baking three different types of Dutch delicacies (about 30 pieces in total). Everyone will make enough so you can already eat some sweets during the workshop, but you will still have some left to take home.
I'll explain/ show how the sweets are made and then you can try for yourself. Everyone will get a recipe book, so you can bake the Dutch treats at home too.
The workshop will take about 2,5 to 3 hours. The maximum amount of people is 10, because I like to work in small groups.
There will be bags/ packaging for you so you can bring everything you made home with you. All drinks are included.
The most important thing is that you have a typical Dutch experience, a lot of fun and a lot of stories to tell when you come home!"
16;17;Amsterdam;"Whether you are experienced with photoshoots or this will be your first time, this experience is perfectly suitable for you!

We'll meet in the center and together have a walk in the beautiful streets. All you have to do is be yourself and enjoy the moment. I will take care of capturing you in beautiful, natural and spontaneous ways.

At the end of the walk we'll sit for a coffee and you get a first look of the pictures. You can let me know your favorites!

Afterwards, while you are enjoying the rest of your trip, I'll edit your pictures.  You'll receive the best pictures in a digital format. I usually take a lot of pictures so expect at least 50 professionally shot and edited pictures of you in this magical city. 

Feel free to check out the reviews from previous guests to get an even better picture of the experience."
17;18;Amsterdam;"Вы узнаете множество живых (и даже детективных:) историй о городе и жителях, увидите знаменитые танцующие дома, зайдете в потайной внутренний дворик, составите свой список лучших фото-точек Амстердама, пройдете по сердцу города - кольцу каналов - и узнаете ответы на самые неожиданные вопросы. Например, какие 3 функции имели каналы и шлюзы раньше и что за уникальный момент, ради которого их закрывают в наши дни? Зачем в этом кафе XVI века потайной ход в церковь? Какие проблемы и задачи стоят перед городом сейчас?
Но главное, все что вы увидите, будет не просто набором мест для фото, а оживет для вас. Вы услышите удивительные истории жителей Амстердама разных эпох, и за фасадами старинных домов сможете разглядеть жизнь города и его обитателей."
18;19;Amsterdam;"There’s nothing like night photography. The magical feeling you get when you nail a breathtaking long exposure never gets old.

Then there's Amsterdam. Just check out Instagram, it's full of amazing photos of this incredible city.

Now combine the magic of night photography with the beauty of Amsterdam and you've got a recipe for amazing photos and an incredible night out!

But where shoot in Amsterdam?

And more importantly, how to shoot!?

That's where I come in. As a local I know ALL the best locations to help you capture those hidden gems in the best way possible.

And as a University Lecturer with over 15 years professional experience in the Photography Industry, I'll teach you the techniques you need to create perfect night photos.

So why not let a Pro guide you around the best Amsterdam has to offer, and get the most out of your night photography.

With locations around Amsterdam's iconic Red Light District, you’re guaranteed a fun night out!

BTW, we also run Photoshoot Tours with Airbnb:
PROFESIONAL AMSTERGRAM PHOTO SHOOT
www.airbnb.com/experiences/84708

And if you have any special requests, or prefer a more intensive workshop, please contact us!

www.instagram.com/iseeamsterdam"
19;20;Amsterdam;"Your experience begins with a welcome and introduction to the space. Once settled, up-and-coming musicians, selected by the Amsterdam Music Project, will take you on a musical journey in this cozy setting. It's a secret show, in an intimate location, surrounded by artists and like-minded travelers. Every concert has its own unique flair and what we create together will always be one of a kind.

Following the performance, we welcome you to stick around and hang out with the musicians and ask any questions about our beloved city.

*Each night will be hosted either by Dean, Rutger and/or Louisa (and sometimes all three!) If you would like to know who is hosting a specific night, feel free to send us a message :-)"
20;21;Amsterdam;"Did you know cacao trees take the flavors of the environment? So, if you taste real single origin chocolate, you can taste a hint of fruit, like pear, or nuts. 

Let me amaze you with the real and pure tastes of our single origin chocolates! A bar of single origin chocolate from the Atlantic Rainforest in Brazil has a unique taste, as well as our single origin bars from the island of Grenada, Papua, Congo, Vietnam, etc. Make a small journey around the world with me!

In my workspace next to the shop I make chocolates every day. I love to let you taste many of my chocolates! I make chocolates with different spices, like clove, black pepper, cardemom and chili. But also work with caramel (yes, I have salty caramel!), fruit and nuts like the exotic Kenari nut. 

Ofcourse I have glasses of water ready for you to take in between all the chocolate tasting and would like to give you something to take back home!

Please note: 
- the toilet is unfortunately not accessible for guests
- there is no real seating, the tasting will be organized around a standing table.
- my shop is located in the old city center, also known as the Red Light District, it might not be suitable for young children"
21;22;Amsterdam;"**Other dates and times by request. **

We meet close to Central Station. 
We will carpool together to Zaandijk in my car. We then walk towards the historic windmill area of Zaanse Schans. 

- We pass the very first Dutch supermarket dated 1887 with all the original  interior.(open on weekends)

- We will visit one or two 17th and 18th  century windmills. We go inside and experience the enormous power of these very first factories in the world. 

- We stroll towards the cheese farm and have a small cheese tasting, be prepared for some Lavender Goat Cheese and Smoked Cheese with Jalapeños.

- Next we visit an Old Dutch Candy Store; you can buy coffee, waffles, pastries, dutch candy; your belly will grow and your teeth fillings will fall out. 

- Finally we spend time in a workplace where the wooden shoes/clogs are made: “ What happens when you blow into a clog?! “

- We walk back through the village, and travel back to Amsterdam. 

*Truth be told, this beautiful place with lots of history,  can be crowded at certain times*

  OPTIONAL 

- Tulip Tour Keukenhof. See my other listing. March 26-April 30 only. 

- Amsterdam Castle Muiderslot , beautiful 13th century Castle with  Gardens and historic knights rooms, . (Ask for price ) 2 hours extra , not on Mondays!

- Marken, Historic 13th century 
Fisherman’s Island, with nice harbour and houses on poles. (Ask price) + 1,5 hour"
22;23;Amsterdam;If you are planning to have with you nice pictures from your holidays in Amsterdam, I as a professional photographer am willing to help you! We can do lovely couple photos, also weddings, portrait shot in the city or family photo walking. This is a photo shooting tour where you may choose over 30 and more pictures that you most like from your stay in Amsterdam.
23;24;Amsterdam;"Amsterdam is THE city in Europe. Just look at Instagram, it's full of amazing shots of this beautiful city

But how are you gonna find those hidden gems, or capture that crucial selfie?

With our help, that's how!

Join us and you'll be joining a photo shoot with a difference. We'll visit lots of secret locations, hand-picked by David for their beauty and Instagramable features, perfect for creating iconic portraits in Amsterdam.

As we take you on a fun-filled walk around Amsterdam, David will use his expert photography skills to capture you the only way he knows how: perfectly!

And don't worry, it's not all just standing around posing, we'll teach you all about Amsterdam's rich history, and even give you some pointers on mastering your own photography through the art of composition and posture.

After the tour David will fully edit everything, and a couple of days later you'll receive a link to all the shots. Couldn't be easier!

It's like having your own personal professional photographer, tour guide & local friend all in one!

So pack your lipstick, put on your best insta-smile, and get ready to pose, explore, and laugh!

Oh by the way, if you're more interested in learning about photography, we also run tuition tours on Airbnb:

★★★★★ NIGHT PHOTOGRAPHY WITH A PRO
www.airbnb.com/experiences/171197"
24;25;Amsterdam;"+ I'm always super flexible to meet on a date or time not offered on the calendar, please contact me to arrange that! 

+ In standard photoshoots a maximum of 3 people can join it, unless you book a private photoshoot. Couples have to book 2 normal spots and they will have it private.

+I shoot with couples and families as a private photoshoot and I normally provide more than 65 pictures.

Please read the steps:

1) We'll spend 1'30 hour walking through my favourite spots in Amsterdam that tourists never use to see and I will also provide you an exciting and funny photoshoot where you'll feel confortable since the 1st minute. You'll feel like a real model this time and you'll like all the photos where you’re appearing, I promise.  We'll create beautiful shoots, so you will have an amazing and unique memory from Amsterdam. I'll provide you tips about how to create creative photos and how to pose & be natural at a shooting

2) At the end of the experience if I'm not busy with photoshoots we can enjoy a drink while I show you some photos in a rooftop with beautiful views of Amsterdam!

3) You'll receive more than 60 photos of the experience retouched with high-quality & color grading. The photos will be ready to be post on your insta or facebook and be the envy of your friends & family!"
25;26;Amsterdam;"Pier will come reach you up at the metro station (five minutes walking from home) while I will be waiting for you and preparing a welcome warm aperitivo.
Once arrived at our cozy typical Dutch suburb apartment, we will settle down in the living room and the experience will start.
We will introduce ourselves and explain the time to spend together.
Very importantly, we will have a preliminary chat about your relationship with the green for establishing brownies perfect tailored strength and maximizing your experience.
We will then prepare ingredients and procedures of the recipe.
We will make weed butter, choose your (eventual) favorite nuts and ultimate the mixture for the oven - no matter vegetarian or vegan.
I will surely show you how to make all the steps (you can also take notes in the meanwhile) but I will want you to take action as well - mixing and baking - in order for the whole process to be memorized better.
After less than half an hour, ladies and gentlemen, you will finally enjoy a “highly” tasty, healthy and heart-warming result.
To conclude our great class, hot tea at your choice, city’s best spots advises and leftovers to take away."
26;27;Amsterdam;"You thought Amsterdam was all about tulips, cheese, and the red light district? That's not the full truth. There are endless unique things to experience in this lively city, you only have to know where to look. Step into the shoes of a local during this fun-filled experience and discover it together with one of us. Go off the beaten track and experience what Amsterdam is truly all about.

Haarlemmerstraat is a must-visit and one of the hippest, quirkiest shopping streets in Europe. We can tell you all about a lovely square that's filled with historical stories, and one of the most important houses in the city. The best part? You get to visit the coolest district in Amsterdam: the North! Don't forget about the cool bars, nice local markets, and beautiful, uncrowded canals: it's all included for you and your group.

Dutch apple pie has already been included in the price for you. The heavenly slice of pie is served to you by a 60-year-old couple who already own their local bar for more than 40 years! At the end of your day off the beaten track, you'll also enjoy the best coffee at the coolest café of the city where you’ll also get the chance to connect with your group."
27;28;Amsterdam;"This experience takes place in a cosy candlelit private space of a well-known Latin American restaurant in an always buzzing area in the heart of Amsterdam. Here you will be a part of an intimate music experience provided by local and/or international artists curated by your host BLESZ. 

A warm welcome, amazing performances and the opportunity to eat delicious tapas, finger food or South American street food selections and of course to indulge in authentic and unique cocktails. During the breaks and after the concert you are more than welcome to interact with the artists. Since you are in the heart of the town already, you can always request tips for activities nearby after the experience."
28;29;Amsterdam;For nearly a century, Amsterdam was the center of a worldwide empire. The history of Amsterdam's Golden Age remains visible in the modern city today. We will travel back in time to discover how Amsterdam transformed from a sleepy medieval village to the most important city in the world. During a 2.5 hour walking tour we will visit the Golden Age landmarks where Amsterdam's liberal and progressive heritage, and the Dutch empire's wealth and rich culture originated. These monumental remains form the background for exciting tales about Amsterdam's merchants, inventors, painters, thinkers, notables and commoners. Along the way, we will taste both herring and jenever, the Dutch predecessor of gin, two typical Dutch Golden Age delicacies still popular today.
29;30;Amsterdam;"My tour includes places in Amsterdam that have no Facebook or Instagram. These places offer exclusive live music, theme nights, vegan food and cheap drinks.

If you want to explore Amsterdam like a local and don't like typical touristy places, this tour is for you.

I expect you to bike with me . Most nights I bike 10-15 km. We cover 3-4 most happening underground bars.

We start at  21:30 at dam square and finish at around 2:30 at a random bar in the west of Amsterdam."
30;31;Amsterdam;"Imagine if an Escape Room and a Treasure Hunt had a baby, and that baby was raised by The Da Vinci Code - you're now imagining The Mystery of A Secret Sender.

An occult group has challenged you to uncover the identity of one of their most famous members. Follow the words of a A Secret Sender as you wander through his world in Golden Age Amsterdam. Will you solve the mystery in time? You'll have to book to find out!"
31;32;Amsterdam;"Watch me work in this video:
https://www.youtube.com/watch?v=Xpv4Iyzn1Ug

Or search on youtube for: 'Airbnb photography experience Sebastiaan van Thienen' 

Right from the start we walk over the iconic canals and I will capture you in idilic Amsterdam! I know exactly at which spots we have to be for the perfect instagram post. At all times I will help you pose and feel comfortable before the lens. So we can get that perfect shot.

Walking from location to location I happily tell you about Amsterdam's rich history and sites we pass. Not so much interested in history? We can talk about photography, I can give you some simple tips & tricks that could greatly improve your photography for the rest of your trip.

You can expect 50-70 edited images send to you within 48 hours.
To have as many as possible photo opportunities we finish the photoshoot at a different location than where we started."
32;33;Amsterdam;"Baking stroopwaffle and beer tasting.  (More info, search for:  stroopwaffle.org )
1)	Stroopwafel baking class. We’ll introduce all the ingredients of this delicious treat. 
2)	(2 persons per station), we will take you step by step through the process of making the waffle dough. All ingredients are prepared and ready to use. The dough needs to rise for 35 minutes.
3)	Beer tasting. In the Netherlands we have a tradition of local beer breweries. We selected 4 that make a “Double” beer. Very tasteful and well-known by the Dutch. We are curious what your favourite is?  
4)	Preparing the sugar syrup. In your perfect waffle, you need the perfect (in Dutch: stroop) syrup. We’ll cook it shortly with real Madagaskar Bourbon vanilla and cinnamon to the perfect temperature of 45 degrees celsius.
5)	Bake it! With our dedicated waffle iron, you bake 7 stroopwaffles, finish them with your own made syrup and your Dutch stroopwaffle is ready to eat. 

We do not provide a gluten-free version.

During our workshop you will learn, discover, but especially have lots of fun.

Fun fact:

Did you know The Dutch have a rich tradition of drinking beer. Around 1700 it was considered healthier (and safer) to drink beer instead than water? While the dough is rising, we’ll present you a small beer tasting."
33;34;Amsterdam;"Наша экскурсия начнётся возле здания центрального вокзала, который больше похож на дворец, мы узнаем что сейчас находиться в комнате ожидания для короля, затем мы увидим самые важные для города достопримечательности и старинные соборы, поговорим о иконоборческих войнах и о тайных католических церквях, о всех секретах самого свободного города мира и как живут люди в лодках на воде. Купим сувениры и тюльпаны на единственном в мире рынке цветов и разгадаем секреты героев ""ночного дозора"" на площади Рембрандта, а экспес фотосесия нас ждет на фоне ""прянечных танцующих"" домиком. 
Ну и самая вкусная часть программы нас ждёт во второй части экскурсии :
-дегустация настоящей селёдки матиас
-дегустация более 30!!видов голланского сыра, мастард, джемов и сладостей местного производства.
Советую этот тур заказать в самый первый день визита в страну. Я помогу вам спланировать все пребывания и отвечу на все вопросы. Есть возможность трансферов на комфортабельном авто- обговориваеться дополнительно! 
Чувствуйте себя свободно завязываться со мной и задавать вопросы!"
34;35;Amsterdam;"Amsterdam is an amazing place in every season and we would love to show you the city through our eyes while capturing your story and giving you a true taste of the town. During this walk, we aim to show you the Amsterdam we are in love with and hope you will do the same. 

1. First, we’ll meet at one of our favorite spots, a lovely teahouse in the Vondelpark, which is loved by locals. We’ll have a drink and a chat about the plans for your shoot. Feel free to share your ideas with us and let’s be creative together! 

2. Then we will take some pictures at some hidden spots in the park. After that, we’ll take a stroll over the iconic canals, stopping at various romantic spots and bridges, and then head for the lovely Jordaan area with its historical architecture for some more photo's in its small streets, away from the touristic places. 

3. At the end of the photoshoot, we’ll have a drink and a small food tasting with typical Dutch snacks in a nice little café that dates back to 1786 and is located on a quiet canal in the heart of the Jordaan.

4. Within 48 hours we will provide you with at least 50 professionally shot and edited HD pictures through Wetransfer or USB. This way, you’ll have beautiful memories and new stories to take home with you.

This experience is also available for occasions such as engagement, honeymoon or family vacations."
35;36;Amsterdam;"At the weekends we love to go for brunch with friends. Simply because sometimes we want to stay in bed a little longer than breakfast time and it is actually just too early for lunch. 
What better way than to have a brunch on a boat? To have a sociable weekend brunch on a boat, while gliding through the famous canals of Amsterdam. With a captain, who is also your guide!

Let us serve you nice croissants, maybe some dutch raisinbuns with cheese and marmalade, fresh fruit, perhaps a mimosa or two.. 

Relax or reload, whatever the night before brought you and whatever the new day may bring.
While enjoying your brunch, see the city awaken and feel the weekendvibes of this freeminded place. Mingle with other guests on board, or stay cuddled with your friends or loved ones.. all is good. Life is good!

The perfect Amsterdam weekend starts here"
36;37;Amsterdam;"Jazz is just better with a view. 

You take the elevator to the sixth floor of Zoku and you enter one of the most photographed entrances in all of Amsterdam. On both sides you get an incredible view of the city. 

We will greet you at the back ""stage"" where you can get acquainted with the space. You will then get to experience performances by some of Amsterdam's finest up & coming jazz musicians. 

After the show stick around for some drinks and hang with the artists.

*The concert takes place indoors, with a view, and we will have our own private outdoor terrace that we can use before the show, in between sets and after."
37;38;Amsterdam;"We offer one of the best Amsterdam canal cruise experiences of the city. Our goal is to give our guests an intimate, unique, relaxed and well-cared for experience, so they can enjoy Amsterdam as we do every day. Through previous experience we have specially adapted our characterful boat for the ultimate canal tour; luxury, good all-round visibility, for both summer and winter days and with a toilet. Our electric boat has also been specially designed to sail through canals where large tour boats cannot enter.
Sebi will receive you at our meeting point and ensure that you will board on our beautiful boat Guiliana safely and comfortably. Sebi will then take you on a two-hour cruise through the historic canals, the Jordaan, the Amstel River, the red - light district and many other well-known locations such as the Skinny Bridge, the dancing houses and the seven bridges. All this while enjoying seasonal drinks and cold / hot Dutch snacks. In the meantime, Sebi will pass on his years of knowledge; about the canals and its buildings, some basic information about the origins of the city, about current events, about Amsterdam people and their habits. Both in English and Dutch and German if desired."
